,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Local,Visita,Local,Visita,,,,,,Locaal,,Visita,,Promedio,,,,Indices,,,
1,0,Crystal,Arsenal,0,2,,,#Partido,GF,GC,Goles Favor,Goles Contra,Goles Favor,Goles Contra,GFL,GCL,GFV,GCV,IAL,IDL,IAV,IDV
1,1,Fulham,Liverpool,2,2,Mas 6 es la celda,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,2,Bournemouth,Aston Villa,2,0,0,Arsenal,10,23,10,14,7,9,3,1.4,0.7,0.9,0.3,1.62697274031564,1.4,1.125,0.2
1,3,Newcastle,Nottm,2,0,1,Man City,10,33,9,24,5,9,4,2.4,0.5,0.9,0.4,2.78909612625538,1,1.125,0.2
1,4,Tottenham,Southampton,4,1,2,Tottenham,10,20,10,13,4,7,6,1.3,0.4,0.7,0.6,1.51076040172166,0.8,0.875,0.3
1,5,Leeds,Wolves,2,1,3,Brighton,10,14,9,6,3,8,6,0.6,0.3,0.8,0.6,0.697274031563845,0.6,1,0.3
1,6,Everton,Chelsea,0,1,4,Leeds,10,11,12,6,2,5,10,0.6,0.2,0.5,1,0.697274031563845,0.4,0.625,0.5
1,7,Leicester,Brentford,2,2,5,Fulham,10,16,20,10,11,6,9,1,1.1,0.6,0.9,1.16212338593974,2.2,0.75,0.5
1,8,Man United,Brighton,1,2,6,Southampton,10,8,17,5,6,3,11,0.5,0.6,0.3,1.1,0.581061692969871,1.2,0.375,0.6
1,9,West Ham,Man City,0,2,7,Chelsea,10,13,10,9,4,4,6,0.9,0.4,0.4,0.6,1.04591104734577,0.8,0.5,0.3
1,10,Aston Villa,Everton,2,1,8,Brentford,10,18,17,12,6,6,11,1.2,0.6,0.6,1.1,1.39454806312769,1.2,0.75,0.6
1,11,Southampton,Leeds,2,2,9,Newcastle,10,17,9,11,5,6,4,1.1,0.5,0.6,0.4,1.27833572453372,1,0.75,0.2
1,12,Arsenal,Leicester,4,2,10,Man United,10,13,15,6,4,7,11,0.6,0.4,0.7,1.1,0.697274031563845,0.8,0.875,0.6
1,13,Brighton,Newcastle,0,0,11,Liverpool,10,20,12,15,5,5,7,1.5,0.5,0.5,0.7,1.74318507890961,1,0.625,0.4
1,14,Man City,Bournemouth,4,0,12,Crystal,10,10,12,7,7,3,5,0.7,0.7,0.3,0.5,0.813486370157819,1.4,0.375,0.3
1,15,Wolves,Fulham,0,0,13,Nottm,10,6,22,5,8,1,14,0.5,0.8,0.1,1.4,0.581061692969871,1.6,0.125,0.7
1,16,Brentford,Man United,4,0,14,Everton,10,8,9,3,4,5,5,0.3,0.4,0.5,0.5,0.348637015781922,0.8,0.625,0.3
1,17,Nottm,West Ham,1,0,15,Aston Villa,10,7,11,4,3,3,8,0.4,0.3,0.3,0.8,0.464849354375897,0.6,0.375,0.4
1,18,Chelsea,Tottenham,2,2,16,West Ham,10,8,10,6,6,2,4,0.6,0.6,0.2,0.4,0.697274031563845,1.2,0.25,0.2
1,19,Liverpool,Crystal,1,1,17,Bournemouth,10,10,22,4,4,6,18,0.4,0.4,0.6,1.8,0.464849354375897,0.8,0.75,0.9
1,20,Tottenham,Wolves,1,0,18,Wolves,10,4,12,3,4,1,8,0.888888888888889,0.4,0.1,0.8,1.03299856527977,0.8,0.125,0.4
1,21,Everton,Nottm,1,1,19,Leicester,10,15,24,7,5,8,19,0.860493827160494,0.5,0.8,1.9,1,1,1,1.0
1,22,Leicester,Southampton,1,2,,,,274,272,,,,,0.887469135802469,0.515,0.52,0.845,,,,
1,23,Fulham,Brentford,3,2,,Promedio de goles,3.02197802197802,,,,,,,,,,,,,,
1,24,Crystal,Aston Villa,3,1,,,,Necaxa,,,,,,,,,,,,,
1,25,Bournemouth,Arsenal,0,3,,,0,1,2,3,4,5,6,,,,,,,,
1,26,West Ham,Brighton,0,2,,0,,,,,,,,,Local,0,,,,,
1,27,Leeds,Chelsea,3,0,,1,,,,,,,,,Empte,0,,,,,
1,28,Newcastle,Man City,3,3,,2,,,,,,,,,Visista,0,,,,,
1,29,Man United,Liverpool,2,1,,3,,,,,,,,,,,,,,,
1,30,Southampton,Man United,0,1,,4,,,,,,,,,,,,,,,
1,31,Chelsea,Leicester,2,1,,5,,,,,,,,,Mas 2.5,0,,,,,
1,32,Brighton,Leeds,1,0,,6,,,,,,,,,Menos 2.5,0,,,,,
1,33,Man City,Crystal,4,2,,,,,,,,,,,,,,,,,
1,34,Liverpool,Bournemouth,9,0,,,,,,,,,,,,,,,,,
1,35,Brentford,Everton,1,1,,,,,,,,,,,AA,0,,,,,
1,36,Arsenal,Fulham,2,1,,,,,,,,,,,NA,0,,,,,
1,37,Wolves,Newcastle,1,1,,,,,,,,,,,,,,,,,
1,38,Aston Villa,West Ham,0,1,,,,,,,,,,,,,,,,,
1,39,Nottm,Tottenham,0,2,,,,,,,,,,,,,,,,,
1,40,Crystal,Brentford,1,1,,,,,,,,,,,,,,,,,
1,41,Fulham,Brighton,2,1,,,,,,,,,,,,,,,,,
1,42,Southampton,Chelsea,2,1,,,,,,,,,,,,,,,,,
1,43,Leeds,Everton,1,1,,,,,,,,,,,,,,,,,
1,44,Bournemouth,Wolves,0,0,,,,,,,,,,,,,,,,,
1,45,Man City,Nottm,6,0,,,,,,,,,,,,,,,,,
1,46,Arsenal,Aston Villa,2,1,,,,,,,,,,,,,,,,,
1,47,West Ham,Tottenham,1,1,,,,,,,,,,,,,,,,,
1,48,Liverpool,Newcastle,2,1,,,,,,,,,,,,,,,,,
1,49,Leicester,Man United,0,1,,,,,,,,,,,,,,,,,
1,50,Everton,Liverpool,0,0,,,,,,,,,,,,,,,,,
1,51,Tottenham,Fulham,2,1,,,,,,,,,,,,,,,,,
1,52,Nottm,Bournemouth,2,3,,,,,,,,,,,,,,,,,
1,53,Chelsea,West Ham,2,1,,,,,,,,,,,,,,,,,
1,54,Brentford,Leeds,5,2,,,,,,,,,,,,,,,,,
1,55,Wolves,Southampton,1,0,,,,,,,,,,,,,,,,,
1,56,Newcastle,Crystal,0,0,,,,,,,,,,,,,,,,,
1,57,Aston Villa,Man City,1,1,,,,,,,,,,,,,,,,,
1,58,Brighton,Leicester,5,2,,,,,,,,,,,,,,,,,
1,59,Man United,Arsenal,3,1,,,,,,,,,,,,,,,,,
1,60,Aston Villa,Southampton,1,0,,,,,,,,,,,,,,,,,
1,61,Nottm,Fulham,2,3,,,,,,,,,,,,,,,,,
1,62,Wolves,Man City,0,3,,,,,,,,,,,,,,,,,
1,63,Newcastle,Bournemouth,1,1,,,,,,,,,,,,,,,,,
1,64,Tottenham,Leicester,6,2,,,,,,,,,,,,,,,,,
1,65,Brentford,Arsenal,0,3,,,,,,,,,,,,,,,,,
1,66,Everton,West Ham,1,0,,,,,,,,,,,,,,,,,
1,67,Arsenal,Tottenham,3,1,,,,,,,,,,,,,,,,,
1,68,Liverpool,Brighton,3,3,,,,,,,,,,,,,,,,,
1,69,Fulham,Newcastle,1,4,,,,,,,,,,,,,,,,,
1,70,Southampton,Everton,1,2,,,,,,,,,,,,,,,,,
1,71,Crystal,Chelsea,1,2,,,,,,,,,,,,,,,,,
1,72,Bournemouth,Brentford,0,0,,,,,,,,,,,,,,,,,
1,73,West Ham,Wolves,2,0,,,,,,,,,,,,,,,,,
1,74,Man City,Man United,6,3,,,,,,,,,,,,,,,,,
1,75,Leeds,Aston Villa,0,0,,,,,,,,,,,,,,,,,
1,76,Leicester,Nottm,4,0,,,,,,,,,,,,,,,,,
1,77,Newcastle,Brentford,5,1,,,,,,,,,,,,,,,,,
1,78,Bournemouth,Leicester,2,1,,,,,,,,,,,,,,,,,
1,79,Man City,Southampton,4,0,,,,,,,,,,,,,,,,,
1,80,Chelsea,Wolves,3,0,,,,,,,,,,,,,,,,,
1,81,Brighton,Tottenham,0,1,,,,,,,,,,,,,,,,,
1,82,West Ham,Fulham,3,1,,,,,,,,,,,,,,,,,
1,83,Crystal,Leeds,2,1,,,,,,,,,,,,,,,,,
1,84,Arsenal,Liverpool,3,2,,,,,,,,,,,,,,,,,
1,85,Everton,Man United,1,2,,,,,,,,,,,,,,,,,
1,86,Nottm ,Aston villa,1,1,,,,,,,,,,,,,,,,,
1,87,Brentford,Bringhton,2,0,,,,,,,,,,,,,,,,,
1,88,Leicester,Crystal,0,0,,,,,,,,,,,,,,,,,
1,89,Wolves,Nottm,1,0,,,,,,,,,,,,,,,,,
1,90,Fulham,Bournemouth,2,2,,,,,,,,,,,,,,,,,
,91,,,,,,,,,,,,,,,,,,,,,
,92,,,,,,,,,,,,,,,,,,,,,
,93,,,,,,,,,,,,,,,,,,,,,
,94,,,,,,,,,,,,,,,,,,,,,
,95,,,,,,,,,,,,,,,,,,,,,
,96,,,,,,,,,,,,,,,,,,,,,
,97,,,,,,,,,,,,,,,,,,,,,
,98,,,,,,,,,,,,,,,,,,,,,
,99,,,,,,,,,,,,,,,,,,,,,
,100,,,,,,,,,,,,,,,,,,,,,
,101,,,,,,,,,,,,,,,,,,,,,
,102,,,,,,,,,,,,,,,,,,,,,
,103,,,,,,,,,,,,,,,,,,,,,
,104,,,,,,,,,,,,,,,,,,,,,
,105,,,,,,,,,,,,,,,,,,,,,
,106,,,,,,,,,,,,,,,,,,,,,
,107,,,,,,,,,,,,,,,,,,,,,
,108,,,,,,,,,,,,,,,,,,,,,
,109,,,,,,,,,,,,,,,,,,,,,
,110,,,,,,,,,,,,,,,,,,,,,
,111,,,,,,,,,,,,,,,,,,,,,
,112,,,,,,,,,,,,,,,,,,,,,
,113,,,,,,,,,,,,,,,,,,,,,
,114,,,,,,,,,,,,,,,,,,,,,
,115,,,,,,,,,,,,,,,,,,,,,
,116,,,,,,,,,,,,,,,,,,,,,
,117,,,,,,,,,,,,,,,,,,,,,
,118,,,,,,,,,,,,,,,,,,,,,
,119,,,,,,,,,,,,,,,,,,,,,
,120,,,,,,,,,,,,,,,,,,,,,
,121,,,,,,,,,,,,,,,,,,,,,
,122,,,,,,,,,,,,,,,,,,,,,
,123,,,,,,,,,,,,,,,,,,,,,
,124,,,,,,,,,,,,,,,,,,,,,
,125,,,,,,,,,,,,,,,,,,,,,
,126,,,,,,,,,,,,,,,,,,,,,
,127,,,,,,,,,,,,,,,,,,,,,
,128,,,,,,,,,,,,,,,,,,,,,
,129,,,,,,,,,,,,,,,,,,,,,
,130,,,,,,,,,,,,,,,,,,,,,
,131,,,,,,,,,,,,,,,,,,,,,
,132,,,,,,,,,,,,,,,,,,,,,
,133,,,,,,,,,,,,,,,,,,,,,
,134,,,,,,,,,,,,,,,,,,,,,
,135,,,,,,,,,,,,,,,,,,,,,
,136,,,,,,,,,,,,,,,,,,,,,
,137,,,,,,,,,,,,,,,,,,,,,
,138,,,,,,,,,,,,,,,,,,,,,
,139,,,,,,,,,,,,,,,,,,,,,
,140,,,,,,,,,,,,,,,,,,,,,
,141,,,,,,,,,,,,,,,,,,,,,
,142,,,,,,,,,,,,,,,,,,,,,
,143,,,,,,,,,,,,,,,,,,,,,
,144,,,,,,,,,,,,,,,,,,,,,
,145,,,,,,,,,,,,,,,,,,,,,
,146,,,,,,,,,,,,,,,,,,,,,
,147,,,,,,,,,,,,,,,,,,,,,
,148,,,,,,,,,,,,,,,,,,,,,
,149,,,,,,,,,,,,,,,,,,,,,
,150,,,,,,,,,,,,,,,,,,,,,
,151,,,,,,,,,,,,,,,,,,,,,
,152,,,,,,,,,,,,,,,,,,,,,
